Fecha,Plazo,Monto Asignado,Tasa de Rendimiento
02/09/1982,28,,53.32
07/10/1982,28,,40.18
14/10/1982,28,,35.07
21/10/1982,28,,33.43
04/11/1982,28,,37.42
11/11/1982,28,,40.54
09/12/1982,28,,45.75
16/12/1982,28,,48.44
23/12/1982,28,,51.6
30/12/1982,28,,50.62
06/01/1983,28,,52.74
13/01/1983,28,,53.5
20/01/1983,28,,55.34
03/02/1983,28,,56.92
10/02/1983,28,,56.85
17/02/1983,28,,56.99
03/03/1983,27,,59.84
17/03/1983,28,,61.04
30/03/1983,29,,62.87
14/04/1983,28,,59.69
04/05/1983,29,,60.51
19/05/1983,28,,59.87
09/06/1983,28,,59.27
16/06/1983,28,,59.08
07/07/1983,28,,59.4
28/02/1985,28,,48.26
07/03/1985,27,,49.1
14/03/1985,28,,56.41
20/03/1985,29,,58.01
28/03/1985,28,,57.64
03/04/1985,29,,63.92
11/04/1985,28,,55.53
18/04/1985,28,,56.17
25/04/1985,28,,55.47
02/05/1985,28,,56.74
09/05/1985,28,,54.97
16/05/1985,28,,53.86
23/05/1985,28,,54.3
30/05/1985,28,,60.51
06/06/1985,28,,67.53
13/06/1985,28,,62.23
20/06/1985,28,,59.29
27/06/1985,28,,58.87
04/07/1985,28,,58.87
11/07/1985,28,,64.31
18/07/1985,28,,71.16
25/07/1985,28,,67.82
01/08/1985,28,,69.65
08/08/1985,28,,72.17
15/08/1985,28,,69.96
22/08/1985,28,,68.39
29/08/1985,28,,66.4
05/09/1985,28,,66.05
12/09/1985,28,,65.72
19/09/1985,28,,64.74
26/09/1985,28,,64.87
03/10/1985,28,,61.75
10/10/1985,28,,61.75
17/10/1985,28,,61.75
24/10/1985,28,,61.75
31/10/1985,28,,62.75
07/11/1985,28,,63.54
14/11/1985,27,,63.49
21/11/1985,28,,63.54
28/11/1985,28,,65.9
05/12/1985,28,,70.15
11/12/1985,29,,72.15
19/12/1985,28,,72.15
26/12/1985,28,,72.15
02/01/1986,28,,72.15
09/01/1986,28,,72.15
16/01/1986,28,,72.15
23/01/1986,28,,72.15
30/01/1986,28,,72.15
06/02/1986,28,,72.15
13/02/1986,28,,72.15
20/02/1986,28,,72.15
27/02/1986,27,,73.5
06/03/1986,28,,74.5
13/03/1986,28,,77.5
20/03/1986,28,,77.5
26/03/1986,29,,78.5
03/04/1986,27,,79.5
10/04/1986,28,,80.5
17/04/1986,28,,80.5
24/04/1986,28,,80.5
30/04/1986,29,,80.5
08/05/1986,28,,80.5
15/05/1986,28,,80.5
22/05/1986,28,,80.5
29/05/1986,28,,80.5
05/06/1986,28,,80.5
12/06/1986,28,,85.5
19/06/1986,28,,85.5
26/06/1986,28,,87
03/07/1986,28,,88
10/07/1986,28,,89
17/07/1986,28,,91.8
24/07/1986,28,,91.27
31/07/1986,28,,90.32
07/08/1986,28,,91.28
14/08/1986,28,,93.14
21/08/1986,28,,97.42
28/08/1986,28,,98.82
04/09/1986,28,,102.21
11/09/1986,28,,101.47
18/09/1986,28,,101
25/09/1986,28,,98.87
02/10/1986,28,,101.89
09/10/1986,28,,100.02
16/10/1986,28,,98.95
23/10/1986,27,,99.96
30/10/1986,28,,97.48
06/11/1986,28,,97.33
13/11/1986,28,,94.88
19/11/1986,29,,95.57
27/11/1986,27,,94.65
04/12/1986,29,,96.86
11/12/1986,28,,99.21
18/12/1986,28,,100.67
24/12/1986,29,,100.36
02/01/1987,27,,98.61
08/01/1987,27,,96.24
15/01/1987,28,,96.47
22/01/1987,28,,96.25
29/01/1987,28,,96.14
04/02/1987,29,,97.36
12/02/1987,28,,96.45
19/02/1987,28,,96.65
26/02/1987,28,,96.36
