Fecha,No Subyacente,Agropecuarios,Energeticos y tarifas autorizadas por el gobierno
01/01/2003,42.67996495,42.10807484,43.01483078
01/02/2003,42.46616236,41.27688471,43.18451975
01/03/2003,43.07853778,42.48135521,43.42892063
01/04/2003,42.89412574,42.1077614,43.36207571
01/05/2003,41.85044823,41.90490445,41.79675475
01/06/2003,41.84518757,41.82855433,41.83564226
01/07/2003,41.91993034,42.0063962,41.84632627
01/08/2003,41.95483165,41.80825977,42.02592454
01/09/2003,42.38448815,42.50935526,42.28681674
01/10/2003,42.77776028,42.91905426,42.66970121
01/11/2003,44.02021275,43.47210935,44.33967079
01/12/2003,44.43019322,44.37396514,44.44400807
01/01/2004,45.07706496,45.09789215,45.04272221
01/02/2004,45.57988737,45.51907106,45.59600542
01/03/2004,45.69084814,45.22487142,45.95851308
01/04/2004,45.47444358,44.36512655,46.14171764
01/05/2004,44.59259864,43.96459423,44.96140236
01/06/2004,44.49506954,43.18423697,45.28794739
01/07/2004,44.75339659,43.46232629,45.53387963
01/08/2004,45.57366407,45.14511266,45.818144
01/09/2004,46.36075564,46.75725405,46.09251603
01/10/2004,47.33835727,48.46446819,46.61657303
01/11/2004,48.74396397,49.30339119,48.37341569
01/12/2004,48.7265271,48.8592037,48.62099395
01/01/2005,48.12079608,46.67083337,48.99834999
01/02/2005,48.19114661,46.91098096,48.96322525
01/03/2005,48.68092668,47.81637728,49.19468016
01/04/2005,49.12909804,49.39086212,48.94321197
01/05/2005,48.26897667,50.22296782,47.03264712
01/06/2005,47.66213953,48.34655692,47.21448772
01/07/2005,48.15737555,49.34456786,47.39727154
01/08/2005,48.18243619,49.10109545,47.58907598
01/09/2005,48.24333321,48.87703253,47.82690065
01/10/2005,48.37230222,47.9569319,48.60726763
01/11/2005,49.58473164,47.17890167,51.05517196
01/12/2005,50.44612463,48.77030021,51.46283145
01/01/2006,51.36420189,50.13335573,52.10414671
01/02/2006,51.14816058,49.87764967,51.91283931
01/03/2006,50.7531078,48.51972869,52.11590337
01/04/2006,50.4986047,48.09226313,51.96892868
01/05/2006,49.28362794,48.37067354,49.82715407
01/06/2006,48.95667664,47.36055863,49.92459419
01/07/2006,49.11723041,47.45643387,50.12523626
01/08/2006,49.9456003,49.23130488,50.36544727
01/09/2006,51.24735552,52.52652256,50.42866878
01/10/2006,51.82990792,53.31206722,50.88488882
01/11/2006,52.55810819,51.61923851,53.11617218
01/12/2006,53.1799493,52.81873921,53.37899851
01/01/2007,53.54636629,52.91541123,53.91274976
01/02/2007,53.51872674,52.78453799,53.94923017
01/03/2007,53.49676863,52.72514991,53.95052602
01/04/2007,53.01653007,52.88166574,53.075099
01/05/2007,51.54216225,51.34424238,51.64058812
01/06/2007,51.31115049,50.52520498,51.77484271
01/07/2007,51.74350209,51.37099978,51.95024587
01/08/2007,52.19970707,52.24576813,52.14631152
01/09/2007,53.13829492,54.37551913,52.34475606
01/10/2007,53.45582428,53.56876225,53.36030241
01/11/2007,54.69811199,54.12526147,55.02786623
01/12/2007,54.98085613,54.62591698,55.17515583
01/01/2008,55.29030284,54.72325803,55.61617054
01/02/2008,55.21204069,53.77374513,56.07898148
01/03/2008,56.04657727,55.02300639,56.65558281
01/04/2008,55.86943842,55.88125595,55.83556475
01/05/2008,54.72874943,55.16397144,54.43248859
01/06/2008,54.85154785,55.01227881,54.72568423
01/07/2008,55.44825231,55.84695631,55.17432697
01/08/2008,56.07603965,56.28133225,55.92192223
01/09/2008,56.64145086,56.88342478,56.46428625
01/10/2008,57.77466778,57.52002743,57.90535626
01/11/2008,59.72514252,59.30342359,59.95865834
01/12/2008,60.36926405,60.97760007,59.96282259
01/01/2009,60.11171005,60.56308431,59.80286238
01/02/2009,59.77422124,59.73212269,59.77197416
01/03/2009,60.234714,60.86518999,59.81458773
01/04/2009,60.30237004,62.56896618,58.86620146
01/05/2009,59.17068029,62.54943422,57.04441297
01/06/2009,59.14534097,62.42153246,57.08277569
01/07/2009,59.24015434,62.62642913,57.10918366
01/08/2009,59.54967363,62.79906051,57.50356164
01/09/2009,60.05850466,64.14447925,57.49264041
01/10/2009,60.19921812,62.55918914,58.70511384
01/11/2009,61.25651853,61.92144687,60.81451256
01/12/2009,61.40669963,61.98978654,61.01544484
01/01/2010,62.74504085,63.56583699,62.20553594
01/02/2010,63.44073314,64.13638052,62.97861364
01/03/2010,64.61579734,66.41028081,63.47075615
01/04/2010,63.54557403,64.88810871,62.68169573
01/05/2010,61.3934495,62.6482798,60.58505669
01/06/2010,61.03048503,61.3187329,60.8225003
01/07/2010,61.18144899,61.41568035,61.00693615
01/08/2010,61.71949558,62.26001058,61.35452884
01/09/2010,62.37525717,63.48972108,61.65356384
01/10/2010,63.63352668,64.49572955,63.06788671
01/11/2010,65.3039058,65.38561204,65.2221512
01/12/2010,65.75780257,66.305493,65.38646199
01/01/2011,66.1294862,66.12569529,66.02966611
01/02/2011,66.31749386,66.11617301,66.32750899
01/03/2011,66.20847738,65.29012681,66.61841211
01/04/2011,66.02156011,67.28844637,65.21349053
01/05/2011,63.51152925,64.68777726,62.75786047
01/06/2011,63.06975388,62.99003429,63.01698116
01/07/2011,63.93952923,64.88284107,63.31506507
01/08/2011,64.12435767,64.9805091,63.54820147
01/09/2011,64.23511811,64.81548224,63.81254548
01/10/2011,65.59713458,65.00705455,65.82499739
01/11/2011,68.00311279,65.95363234,69.040898
01/12/2011,69.27003159,68.78029795,69.43628875
01/01/2012,70.34543534,71.00238398,69.87074745
01/02/2012,69.98542685,69.71882259,70.02618432
01/03/2012,69.60045886,68.59623532,70.0530402
01/04/2012,68.32280876,67.8644728,68.47302144
01/05/2012,66.78161181,68.31123461,65.82589229
01/06/2012,67.64966749,70.10000803,66.17930014
01/07/2012,68.60405307,72.19490449,66.49636784
01/08/2012,68.98389395,72.62178539,66.84939792
01/09/2012,69.89608402,75.19847458,66.83220621
01/10/2012,70.89174614,75.14711445,68.41005947
01/11/2012,72.82696858,74.54331674,71.75782926
01/12/2012,73.24761843,75.09579097,72.10433724
01/01/2013,73.49125705,74.91317635,72.58524095
01/02/2013,73.81670341,74.93047283,73.08198245
01/03/2013,75.37115022,78.39881816,73.56701471
01/04/2013,75.37410988,79.57084478,72.90472212
01/05/2013,73.83147457,78.76496025,70.92857757
01/06/2013,73.32408952,76.40029023,71.51403181
01/07/2013,73.13514686,75.24407075,71.89424149
01/08/2013,73.8196692,76.3910061,72.30667683
01/09/2013,74.2262605,76.95272555,72.62198966
01/10/2013,75.27459325,76.39966541,74.61259303
01/11/2013,77.93724892,78.6674691,77.50758233
01/12/2013,78.9919916,80.10231876,78.33866745
01/01/2014,79.79855063,79.56207682,79.93769345
01/02/2014,79.93052938,79.0000884,80.47800727
01/03/2014,80.29703152,79.56340514,80.72870235
01/04/2014,78.95255548,78.6714766,79.11794423
01/05/2014,77.66063903,79.29450595,76.69926046
01/06/2014,77.69547125,78.97604651,76.94197193
01/07/2014,78.12819886,79.59075101,77.26762309
01/08/2014,78.77907453,81.14383728,77.38763182
01/09/2014,79.50520159,82.78055039,77.57796376
01/10/2014,80.92474676,82.8665455,79.78217898
01/11/2014,83.21852201,84.20676577,82.63703257
01/12/2014,84.28374705,87.00142832,82.68464464
01/01/2015,84.05848851,86.32641495,82.72402495
01/02/2015,83.83432519,85.57082532,82.81255653
01/03/2015,84.54669799,86.20159875,83.57294296
01/04/2015,83.26600229,86.42699624,81.40605165
01/05/2015,81.26653787,85.24303498,78.92673954
01/06/2015,81.29561921,85.03553961,79.09502425
01/07/2015,81.35031852,85.11589008,79.13463024
01/08/2015,81.54621484,85.31233107,79.33020608
01/09/2015,81.86167755,86.07200528,79.38429167
01/10/2015,82.96808023,86.10999077,81.1193584
01/11/2015,84.75226175,86.48336965,83.73366591
01/12/2015,85.35941935,88.49752874,83.51293414
01/01/2016,86.17865105,90.87340097,83.41622782
01/02/2016,86.76334632,92.48179542,83.39857143
01/03/2016,86.33612177,91.55650019,83.26441509
01/04/2016,84.64786352,90.28481024,81.33104519
01/05/2016,82.52433649,89.59329332,78.36491353
01/06/2016,82.23505652,88.32226099,78.65330342
01/07/2016,82.68945746,87.64117185,79.77583455
01/08/2016,83.1670544,87.94843437,80.35365744
01/09/2016,84.03316119,90.67133567,80.12721353
01/10/2016,85.41834319,90.63008519,82.35171825
01/11/2016,87.58424303,91.29080955,85.40327373
01/12/2016,88.02803133,92.17319261,85.58898984
01/01/2017,92.55516975,91.35957101,93.25866829
01/02/2017,92.58418611,90.50178573,93.80948486
01/03/2017,93.26364736,92.4887773,93.71958624
01/04/2017,92.4776615,94.22097505,91.45188379
01/05/2017,91.2748468,95.35730014,88.87270309
01/06/2017,91.35666214,95.76094967,88.76514898
01/07/2017,92.00999755,98.14295178,88.40132498
01/08/2017,93.13404058,100.1652631,88.99682076
01/09/2017,93.51160347,100.1027805,89.63330941
01/10/2017,95.15756188,98.2197549,93.35574638
01/11/2017,98.07071131,99.36017647,97.31198112
01/12/2017,99.13816458,101.1613964,97.94768104
01/01/2018,100.3664795,101.1910298,99.88130833
01/02/2018,100.4457214,99.27329092,101.1355876
01/03/2018,100.750004,99.64964197,101.3974646
01/04/2018,99.01707606,99.15687272,98.93481874
01/05/2018,97.65307792,98.09569603,97.39263837
01/06/2018,98.47487828,97.77896995,98.88435554
01/07/2018,99.72177986,99.64518143,99.7668509
01/08/2018,101.331808,101.5382145,101.1835937
01/09/2018,102.0683001,101.3218173,102.604327
01/10/2018,103.2450805,100.6105764,105.1368387
01/11/2018,105.9876827,104.1098414,107.3361041
01/12/2018,107.4642851,108.3048822,106.8606775
01/01/2019,107.199205,108.6860261,106.1315635
01/02/2019,105.7220889,104.0365009,106.9324589
01/03/2019,106.25754,103.3388825,108.3533402
01/04/2019,105.0393468,103.8835357,105.8693
01/05/2019,103.2973144,104.0595088,102.7500055
01/06/2019,102.5989106,103.8728486,101.6841339
01/07/2019,103.3560299,105.9496123,101.4936563
01/08/2019,102.6315612,104.3644132,101.3872522
01/09/2019,102.7888059,104.338762,101.6758289
01/10/2019,104.2911341,104.4521796,104.1754922
01/11/2019,107.0232764,106.378729,107.4861066
01/12/2019,108.0965883,108.2689636,107.9728107
01/01/2020,109.1354567,110.2501844,108.3350043
01/02/2020,109.7541577,112.1725268,108.0175995
01/03/2020,108.5864782,113.6301319,104.964782
01/04/2020,102.976144,112.730563,95.97178871
01/05/2020,103.6592519,114.2445999,96.05823154
01/06/2020,104.8161183,111.862326,99.75644823
01/07/2020,106.3710245,111.8254428,102.4543707
01/08/2020,107.0458631,112.8107893,102.9062428
01/09/2020,107.0037321,112.8540115,102.8028222
01/10/2020,108.9008481,114.4920272,104.8859903
01/11/2020,109.5159706,114.0375546,106.269157
01/12/2020,109.3765881,112.5544164,107.094685
01/01/2021,112.0061653,113.1606109,111.1771926
01/02/2021,113.524,112.914,113.962
01/03/2021,115.442,114.352,116.225
01/04/2021,115.68,117.334,114.492
01/05/2021,114.814,119.577,111.394
01/06/2021,115.295,119.633,112.18
01/07/2021,116.363,120.516,113.381
01/08/2021,115.759,122.905,110.627
01/09/2021,117.03,124.601,111.594
01/10/2021,119.217,124.824,115.19
01/11/2021,123.327,130.417,118.236
01/12/2021,122.212,130.318,116.392
01/01/2022,122.851,130.499,117.36
01/02/2022,124.124,131.171,119.064
01/03/2022,126.351,132.789,121.727
01/04/2022,126.172,134.178,120.423
01/05/2022,124.879,135.219,117.454
01/06/2022,126.211,137.597,118.035
01/07/2022,127.587,139.856,118.777
01/08/2022,128.084,141.221,118.651
01/09/2022,128.689,143.356,118.157
01/10/2022,129.18,142.61,119.536
01/11/2022,130.396,142.015,122.053
01/12/2022,129.875,142.727,120.646
01/01/2023,130.616,143.455,121.397
01/02/2023,131.137,143.355,122.363
01/03/2023,130.48,142.4,121.921
01/04/2023,128.849,142.4,119.118
01/05/2023,126.424,141.916,115.3
01/06/2023,125.762,141.578,114.405
01/07/2023,126.734,144.274,114.139
01/08/2023,128.561,146.785,115.475
01/09/2023,129.459,148.012,116.137
01/10/2023,129.905,144.923,119.121
01/11/2023,132.256,146.064,122.342
01/12/2023,134.274,150.807,122.402
01/01/2024,137.462,157.446,123.113
01/02/2024,135.954,150.198,125.726
01/03/2024,135.738,149.403,125.926
01/04/2024,135.983,152.87,123.858
01/05/2024,134.246,153.889,120.141
01/06/2024,135.412,156.252,120.448
01/07/2024,139.866,164.069,122.486
